bandId,"bandName"
1,"THE VHV"
2,"Heavy Pockets"
3,"Roz"
4,"Luke Domozick"
5,"Daniels Street"
6,"Hakim Law"
7,"Heavy Sleepers"
8,"Saccharine"
9,"Conor Cary"
10,"Half Lit Smile"
11,"Sam Cohen and Josh Kaufman"
12,"Lunch Cult"
13,"The Victor Wooten Trio"
14,"Scotty Pope"
15,"Cousin Bobby"
16,"Henri Smith"
17,"CUTOUT"
18,"SAUCE Boston"
19,"12th Planet"
20,"Dan Pappas"
21,"The Vinegar Flies"
22,"Daniela Schachter Trio"
23,"Mack The Magnificent"
24,"Dare Devil Hearts"
25,"Heroes"
26,"Henry Godfrey"
27,"Screaming Headless Torsos"
28,"13 O?��Clock Blues Band"
29,"Dave Wells And The Triple D?��s"
30,"Darn Coyotes"
31,"Set Fire"
32,"Macabre"
33,"Dead Heat"
34,"The Water Cycle"
35,"HongLi Peng"
36,"Henry Mansfield"
37,"3rd Left"
38,"Hope Is the Hardest Love We Carry"
39,"Deep Secret"
40,"Sean Rowe"
41,"Shug"
42,"The Whiskey Geese"
43,"Massachusetts Youth Wind Ensemble"
44,"Albino Mbie-Mozambique"
45,"Tony Vento"
46,"4 Piece Suit Band"
47,"Dave and The Shades"
48,"HOUSBOI"
49,"Houston Bernard Band"
50,"Madeleine & Salomon"
51,"Different Strokes"
52,"Sean Staples"
53,"DigiTour Winter"
54,"93 North"
55,"Huxley Rittman & The Rusty Hitmen"
56,"Snax"
57,"Illusion's End"
58,"Immortal War"
59,"Dave Foley"
60,"DJ Bob Downey"
61,"The White Buffalo"
62,"Indiana Heights"
63,"Michelle Currie"
64,"DJ Easy Ed"
65,"Hey Zeus"
66,"Seaway"
67,"A Bunch of Jerks"
68,"The White Owls"
69,"High 5 Swan Dive"
70,"Mike DiBari"
71,"A Fathom Farewell"
72,"DJ Ilmadic"
73,"Separated"
74,"The Wolff Sisters"
75,"Andy Lantz"
76,"Dave Westner"
77,"Andy Voelker"
78,"High Command"
79,"SPC"
80,"Session Americana"
81,"Antoinette Perry"
82,"The Wolff Sisters & the Last Cavalry"
83,"Jason Smith"
84,"David Arteaga Quartet"
85,"Tufts Flute Ensemble"
86,"Makeout"
87,"Tufts Jazz Orchestra"
88,"A Hip Hop Nutcracker"
89,"Jazz Urbane Presents"
90,"The Womps"
91,"Athena Sunset Kings"
92,"David Broza & Friends"
93,"Mr. Fox"
94,"Domingos Latinos [DJ]"
95,"Mally Smith"
96,"JEN KEARNEY"
97,"Urgent Detergent"
98,"A Wilhelm Scream"
99,"Na B"
100,"theband Vu��"
101,"Sterl Da Perl"
102,"David Dondero"
103,"Jessica Sprague"
104,"Mammoth Grinder"
105,"Baabes"
106,"DUB DOWN"
